dilahirkan                 to be born
dilihat                    seen
dimulai                    begins
dinding                    wall, partition
dingin                     cool;  cold
dipanggil                  be called
dipercaya                  be trusted
diperlukan                 be required
dirumah                    home
disebut                    mentioned
ditangkap                  be arrested
ditembak                   shot
diterima                   be accepted; acceptable
dokter                     doctor
doktor                     physician, doctor
dolar                      dollar
dua                        two
dua belas                  12
dua puluh                  20
duduk                      to sit, to stay, to live
duduklah                   sit
duit                       money
dulu                       formerly, previously, first, before, prior
dunia                      the world, global
eh!                        oh dear!
ekor                       tail; classifier for animals
elektrik                   electric
emak                       mother
emas                       gold
embun                      dew, haze
empat                      four
empat belas                14
empat puluh                40
enak                       delicious
enam                       six
enam belas                 16
enam puluh                 60
encik                      Mr.
energi                     energy
engkau                     you (familiar, friend, same status)
entah                      who knows; don't know
entahlah                   I do not know
esok                       tomorrow
faham                      understand
fakta                      fact
fasal                      (1)chapter, paragraph, section (2)concerning, reason
fikir                      think; to think
filem                      film
film                       movie
fokus                      focus
foto                       photo
frank                      franc
gadis                      girl
gagal                      to fail; failed
gajah                      elephant
gaji                       salary, wages, pay
gambar                     a picture, a photograph
ganti                      replacement
gantung                    to hang
garam                      salt
garis                      line
garpu                      fork
gaun                       dress
gaya                       style
gedung                     building
gelabah                    sad, worried, unhappy
gelap                      dark
gelas                      glass
gembira                    happy; excited
gemuk                      fat, plump
gerakan                    motion; movement; action
gerbang                    gate
gereja                     church
get                        gate
getah                      rubber, sap, resin
gi                         butter, ghee
gigi                       tooth
gila                       crazy
goreng                     to fry
gosok baju                 to iron clothes
got                        sewer
gratis                     free
gua                        cave
gula                       sugar
gulai                      curry
guna                       to use
gunakan                    to use
gunanya                    use
gunung                     mountain
guru                       teacher
guru besar                 headmaster
guru lama saya             my old teacher (the teacher I had when I was at school)
guruh-gemuruh              thunder
habis                      finished, gone, to end, to complete, after
hadapan                    front
hadiah                     gift
hai                        hi
hak                        right (in the juridical/legal sense)
hakim                      judge
hal                        case, matter
halaman                    page
halo                       hello
hampir                     almost; nearly
hancur                     destroyed; dissolved
hangat                     hot, warm (general term)
hantar                     send; to deliver
hantu                      ghost
hanya                      only, just, simply
harap                      hope
harapan                    hope; expectation
harga                      price, value
hari                       day
hari ahad                  Sunday
hari ini                   today
hari jumaat                Friday
hari khamis                Thursday
hari rabu                  Wednesday
hari sabtu                 Saturday
hari selasa                Tuesday
hari senin                 Monday
harimau                    tiger
harta                      property
harus                      should, must, need, have to
haruskah                   should leave
harusnya                   there should
hasil                      result
hati                       heart; the liver, the feelings
hatiku                     my heart
have                       Ada
hebat                      great; formidable; impressive
hei                        hey
helai                      classifier for cloth, clothing, grass, hair, leaves, paper
hendak                     to want, wish
hewan                      animal
hidung                     nose
hidup                      life
hidupku                    life
hijau                      green
hilang                     disappear; lose; lost
hisap                      to suck, to smoke
hitam                      black
hormat                     respectful
hospital                   hospital
hubungan                   relationship; connection
hubungannya                relationship
hubungi                    contact (get in touch with)
hujan                      rain; to rain
hukum                      judge's decree, judgement, command, order, law
hukum gantung              sentence of death (by hanging)
hukuman                    sentence
hutan                      forest
hutang                     debt
ia                         it, he, she
iblis                      devil
ibu                        mother
ibu jari                   thumb
ikan                       fish
ikut                       to follow, to go along, to imitate
ikut ini                   this way (direction)
ikut itu                   that way (direction)
ilmu                       knowledge of, science
ilmu alam                  natural science, geography
ilmu bahasa                linguistics
ilmu hayat                 biology
ilmu hisab                 arithmatics
ilmu kimia                 chemistry
impian                     dream
indah                      beautiful; precious
india                      India
informasi                  information
ingat                      to remember, to recall, to be careful
ingin                      want, would like to, wish
ini                        this, this is
isi                        contents
istana                     palace
isteri                     wife
istiadat                   custom, practice; ceremony
istimewa                   preferential; extraordinary
istriku                    my wife
isyarat                    signal
itik                       a duck
itu                        that, those
jadi                       so, thus, therefore, (but also as a verb: to become, to get, end up ...; as an adjective: finished, made-up
jadilah                    roger
jaga                       to watch; to guard; watchman
jahat                      naughty, wicked, immoral
jala                       fishing net, net
jalan                      a road, a way, a method; to walk
jalankan                   run
jalur                      stripe; band
jam                        hour; a clock
jamban                     lavatory, toilet, a privy
jambatan                   bridge
jamuan                     feast
jangan                     do not
jangan sekali-kali         don't ever, don't even once
janji                      to promise
jantan                     male (animals, plants)
jantung                    heart (part of the body)
jarak                      distance
jari                       finger, toe
jari kaki                  toe
jarum                      a needle
jatuh                      fall
jatuhkan                   drop
jauh                       far
jauhkan                    away
jawab                      answer
jawapan                    answer; response
jejak                      trail
jelas                      clear
jelaskan                   tell
jelek                      ugly
jemput                     to invite
jendela                    window
jenderal                   general
jenis                      type; sort
jepang                     Japanese
jepun                      Japan
jerman                     German
jika                       if; when
jin                        genie
jiwa                       soul
jual                       to sell
juara                      champion
juga                       and yet, also
jujur                      honest
jumlah                     total
jumpa                      meet
juta                       million
kabur                      fuzzy
kabut                      cloudy, misty, indistinct
kaca                       glass
kacang                     bean, peas
kacang bendi               lady's fingers, okra
kacang buncis              green beans
kacang hijau               peas
kacang pis                 peas
kacang soya                soybean
kacau                      incoherent
kadang                     sometimes
kah                        an interrogative suffix
kail                       fishing hook
kain                       cloth
kain sarung                sarong
kajang                     awning, screen of palm-leaf, kajang
kakak                      elder sister
kaki                       foot, leg, base
kala jengking              scorpion
kalah                      lose; defeated
kalam                      pen
kalau                      if
kali                       time
kalian                     you (plural, form of adress to equals, younger persons or persons of lower status)
kamar                      room; chamber
kambing                    goat
kamera                     camera
kami                       we, us, our (referred exclusively to a group)
kampung                    village, home town
kamu                       you (familiar, friend, same status)
kanak                      child
kanan                      right (opposite of left)
kapal                      ship
kapal api                  steamship
kapal terbang              aeroplane
kapan                      when
kapten                     captain
karangan                   essay, composition, article
kartu                      card
kasar                      gross
kasi                       to castrate
kasih                      to love, affection, strong liking
kasihan                    pity
kasihan dia!               poor fellow
kasus                      case
kasut                      shoes, boots
kata                       saying, speak
kata kepada                tell, inform
katakanlah                 Say
katanya                    he
kati                       catty (3 catties = 4 pounds)
katil                      bed (European style)
kau                        you; your
kawan                      friend
kawan lama                 an old friend (a friend one has known for a long time, but who may be still young)
kawan tua                  an old friend (a friend who is old in age)
kawasan                    region; area
kaya                       rich
kayu                       classifier used with kain (cloth), means "roll"
ke                         to
ke dalam                   into
ke mana                    where to?
ke sana                    (to) there
ke sini                    (to) here
keadaan                    condition; situation
keadilan                   justice
keajaiban                  miracle
kebaikan                   good
kebangsaan                 nationality, nationalism, national
kebanyakan                 majority
kebebasan                  freedom
kebenaran                  approval
keberanian                 courage
keberatan                  objection; to mind (to be displeased)
keberuntungan              luck
kebetulan                  actually; as it happens
kebun                      a garden
kebun getah                rubber plantation
kecelakaan                 accident
kecil                      small, little, junior
kecil hati                 hurt (of feelings)
kecuali                    except for; unless
kedai                      shop
kedai buku                 bookshop
kedai daging               butcher's shop
kedai kopi                 coffee shop, cafe
kedai makan                restaurant
kedua                      second
keduanya                   both
kegelapan                  darkness
kehilangan                 loss
kehormatan                 honor
keinginan                  desire
kejadian                   incident; happening
kejahatan                  evil
kejam                      cruel
keju                       cheese
kekacauan                  chaos
kekasih                    lover
kekuasaan                  power
kekuatan                   strength
kelabu                     grey
kelambu                    mosquito net
kelaparan                  hunger
kelas                      class
kelihatannya               to look; appear
kelip                      to blink, flicker, twinkle
kelip-kelip                firefly
kelmarin dahulu            the day before yesterday
kelompok                   cluster
keluar                     to go out, motion outwards
keluarga                   family; relatives
keluargaku                 family
keluarkan                  to put out (money)
kemalangan                 accident
kemampuan                  ability
kemarilah                  come here
kemarin                    the day before yesterday
kematian                   death
kembali                    back, return, again
kembalikan                 return
kemeja                     shirt (man)
kemenangan                 victory
kemerdekaan                freedom, liberty, independence
kemudian                   then, later, after
kemungkinan                possibility
kena                       to incur, to be affected by
kena cukai                 (to be) dutible, (to be) taxable
kena denda                 to be fined
kena hukum                 to be sentensed (to)
kena hukum gantung         to be sentenced to death
kena langgar kereta        be run over by a car
kena tangkap               be arrested
kenal                      know; recognise; be aquainted
kenapa                     why; what for
kencan                     date
kenduri                    a feast
kenyataan                  reality
kepada                     to
kepadaku                   me
kepadamu                   to
kepala                     head
kepalaku                   head
kepalamu                   head
kepalanya                  head
keparat                    dammit
kepercayaan                belief
keping                     classifier for things that come in pieces or lumps
keputusan                  decision
kera                       long-tailed monkey
kerajaan                   government
kerana                     because
keras                      hard
kerbau                     buffalo
keren                      handsome; dashing; cool; perky
kereta                     car
